Tm,BAL21,BOS21,NYY21,TBR21,TOR21,CHW21,CLE21,DET21,KCR21,MIN21,HOU21,LAA21,OAK21,SEA21,TEX21
BAL21,--,6,8,1,5,0,2,2,4,2,3,2,3,3,4
BOS21,13,--,10,8,10,3,4,3,5,5,2,3,3,4,3
NYY21,11,9,--,8,8,5,4,3,4,6,4,3,4,5,6
TBR21,18,11,11,--,11,3,6,3,4,3,2,6,3,1,3
TOR21,14,9,11,8,--,3,5,3,4,4,2,3,5,2,4
CHW21,7,4,1,3,4,--,10,12,9,13,2,2,4,3,5
CLE21,5,2,3,1,2,9,--,12,14,8,1,5,2,3,4
DET21,5,3,3,4,3,7,7,--,8,8,5,1,1,5,6
KCR21,3,2,2,2,3,10,5,11,--,10,4,2,2,4,2
MIN21,4,2,1,3,3,6,11,11,9,--,4,2,1,2,4
HOU21,3,5,2,4,4,5,6,2,3,3,--,13,11,11,14
LAA21,4,3,4,1,4,5,1,6,4,5,6,--,4,8,11
OAK21,3,3,3,4,2,3,4,6,5,5,8,15,--,4,10
SEA21,4,3,2,6,4,3,4,1,3,4,8,11,15,--,13
TEX21,3,4,1,4,2,1,2,1,4,3,5,8,9,6,--
