Tm,ATL21,MIA21,NYM21,PHI21,WSN21,CHC21,CIN21,MIL21,PIT21,STL21,ARI21,COL21,LAD21,SDP21,SFG21
ATL21,--,11,10,10,14,5,4,3,4,6,4,2,2,4,3
MIA21,8,--,9,10,8,5,2,3,2,0,5,2,4,3,3
NYM21,9,10,--,9,11,3,3,2,3,2,5,5,1,4,1
PHI21,9,9,10,--,13,5,2,5,4,4,3,2,2,4,2
WSN21,5,11,8,6,--,3,2,1,4,4,4,2,0,3,2
CHC21,2,1,4,2,4,--,8,4,14,9,4,3,4,5,1
CIN21,3,5,3,4,5,11,--,9,13,10,1,5,3,1,1
MIL21,3,3,4,2,5,15,10,--,14,8,6,5,3,5,4
PIT21,3,5,4,3,2,5,6,5,--,7,2,2,0,3,4
STL21,1,6,5,3,2,10,9,11,12,--,6,4,3,3,4
ARI21,3,2,1,4,3,2,5,1,4,1,--,9,3,8,2
COL21,4,4,2,5,4,3,2,2,4,3,10,--,6,11,4
LAD21,4,3,6,4,7,3,3,4,6,4,16,13,--,12,9
SDP21,2,4,3,2,4,1,6,2,4,3,11,8,7,--,8
SFG21,3,4,5,4,5,6,6,3,3,2,17,15,10,11,--
