Tm,Team,Bat,Pitch,Rank
Arizona Diamondbacks,ARI,4.19,5.51,1
Atlanta Braves,ATL,4.91,4.07,11
Baltimore Orioles,BAL,4.07,5.9,1
Boston Red Sox,BOS,5.12,4.62,12
Chicago Cubs,CHC,4.35,5.18,5
Chicago White Sox,CHW,4.91,3.93,13
Cincinnati Reds,CIN,4.85,4.69,10
Cleveland Indians,CLE,4.43,4.49,7
Colorado Rockies,COL,4.59,4.94,6
Detroit Tigers,DET,4.3,4.67,6
Houston Astros,HOU,5.33,4.06,14
Kansas City Royals,KCR,4.23,4.86,4
Los Angeles Angels,LAA,4.46,4.96,5
Los Angeles Dodgers,LAD,5.12,3.46,14
Miami Marlins,MIA,3.85,4.33,4
Milwaukee Brewers,MIL,4.56,3.85,13
Minnesota Twins,MIN,4.5,5.15,3
New York Mets,NYY,3.93,4.12,7
New York Yankees,NYM,4.39,4.13,11
Oakland Athletics,OAK,4.59,4.24,8
Philadelphia Phillies,PHI,4.53,4.6,9
Pittsburgh Pirates,PIT,3.76,5.14,2
San Diego Padres,SDP,4.5,4.37,8
Seattle Mariners,SEA,4.3,4.62,9
San Francisco Giants,SFG,4.96,3.67,15
St. Louis Cardinals,STL,4.36,4.15,12
Tampa Bay Rays,TBR,5.29,4.02,15
Texas Rangers,TEX,3.86,5.03,2
Toronto Blue Jays,TOR,5.22,4.09,10
Washington Nationals,WSN,4.47,5.06,3
