Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,64,28.9,4.19,162,6144,5489,679,1297,308,31,144,644,43,16,537,1465,0.236,0.309,0.382,0.692,87,2099,99,54,32,28,24,1152,41,28.5,5.51,52,110,0.321,5.11,162,162,159,3,4,3,22,1417.1,1480,893,804,232,555,45,1238,75,7,43,6270,82,4.88,1.436,9.4,1.5,3.5,7.9,2.23,1146
Atlanta Braves,56,28.2,4.91,161,6056,5363,790,1307,269,20,239,762,59,19,549,1453,0.244,0.319,0.435,0.754,95,2333,81,67,32,43,36,1072,30,29.5,4.07,88,73,0.547,3.88,161,161,159,2,18,2,40,1410.2,1237,656,608,183,516,34,1417,66,8,73,5944,115,4.09,1.243,7.9,1.2,3.3,9,2.75,1074
Baltimore Orioles,62,26.7,4.07,162,5983,5420,659,1296,266,15,195,632,54,23,451,1454,0.239,0.304,0.402,0.705,91,2177,105,65,14,31,12,1046,42,28.1,5.9,52,110,0.321,5.84,162,162,161,1,5,1,26,1402,1518,956,910,258,563,12,1234,68,7,88,6252,78,5.15,1.484,9.7,1.7,3.6,7.9,2.19,1103
Boston Red Sox,56,28,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,0.261,0.328,0.449,0.777,105,2467,100,61,10,42,22,1093,37,29.7,4.62,92,70,0.568,4.26,162,162,162,0,7,0,49,1419,1409,749,671,176,546,31,1527,79,6,63,6147,110,3.95,1.378,8.9,1.1,3.5,9.7,2.8,1163
Chicago Cubs,69,29.1,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,0.237,0.312,0.407,0.719,93,2162,133,92,40,30,17,1019,40,29.4,5.18,71,91,0.438,4.87,162,162,161,1,8,0,40,1412.2,1386,839,765,235,596,25,1358,98,4,60,6202,88,4.88,1.403,8.8,1.5,3.8,8.7,2.28,1143
Chicago White Sox,47,28,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,106,2262,139,78,24,39,10,1125,27,28.3,3.93,93,69,0.574,3.73,162,162,158,4,13,3,43,1403.1,1205,636,581,182,485,16,1588,51,6,84,5861,118,3.74,1.204,7.7,1.2,3.1,10.2,3.27,1029
Cincinnati Reds,55,28.9,4.85,162,6162,5423,786,1352,295,13,222,756,36,24,553,1425,0.249,0.328,0.431,0.759,93,2339,129,105,35,45,22,1110,36,28.9,4.69,83,79,0.512,4.4,162,162,161,1,8,1,41,1434.1,1330,760,702,206,617,30,1524,64,8,62,6199,109,4.34,1.357,8.3,1.3,3.9,9.6,2.47,1161
Cleveland Indians,48,26.7,4.43,162,5907,5332,717,1269,248,22,203,686,109,17,453,1387,0.238,0.303,0.407,0.71,93,2170,105,64,20,36,18,987,25,26.3,4.49,80,82,0.494,4.34,162,162,162,0,9,0,39,1408,1281,727,679,216,522,12,1391,59,8,52,5968,100,4.43,1.281,8.2,1.4,3.3,8.9,2.66,1035
Colorado Rockies,45,28.1,4.59,161,6007,5374,739,1338,275,34,182,709,76,23,491,1356,0.249,0.317,0.414,0.731,87,2227,98,58,48,36,24,1074,26,28.3,4.94,74,87,0.46,4.82,161,161,158,3,6,1,33,1397,1397,796,748,196,539,19,1269,63,3,67,6044,98,4.47,1.386,9,1.3,3.5,8.2,2.35,1081
Detroit Tigers,49,28.1,4.3,162,5979,5376,697,1299,236,37,179,675,88,25,490,1514,0.242,0.308,0.399,0.707,95,2146,113,44,17,50,8,1031,29,27.3,4.67,77,85,0.475,4.32,162,162,160,2,7,1,42,1419.2,1370,756,681,199,571,10,1259,82,3,80,6164,100,4.6,1.367,8.7,1.3,3.6,8,2.2,1174
Houston Astros,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,0.267,0.339,0.444,0.783,114,2486,136,64,9,54,25,1159,32,28.7,4.06,95,67,0.586,3.78,162,162,160,2,8,0,34,1445,1231,658,607,187,549,12,1456,70,4,72,6060,112,4.12,1.232,7.7,1.2,3.4,9.1,2.65,1092
Kansas City Royals,48,29.3,4.23,162,5993,5427,686,1349,251,29,163,647,124,33,421,1258,0.249,0.306,0.396,0.702,90,2147,100,55,31,52,8,1050,30,27.9,4.86,74,88,0.457,4.64,162,162,161,1,7,0,37,1417.1,1375,788,731,189,591,16,1344,62,9,86,6127,98,4.39,1.387,8.7,1.2,3.8,8.5,2.27,1101
Los Angeles Angels,64,29.2,4.46,162,6016,5437,723,1331,265,23,190,691,79,26,464,1394,0.245,0.31,0.407,0.717,95,2212,107,59,30,25,35,1029,41,28.6,4.96,77,85,0.475,4.69,162,162,161,1,4,0,39,1421.2,1373,804,741,188,592,18,1453,76,11,56,6196,95,4.25,1.382,8.7,1.2,3.7,9.2,2.45,1141
Los Angeles Dodgers,61,29.2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,101,2336,96,104,32,45,36,1169,39,28.8,3.46,106,56,0.654,3.01,162,162,161,1,17,0,56,1452,1107,561,486,161,486,43,1599,63,9,52,5948,139,3.54,1.097,6.9,1,3,9.9,3.29,1063
Miami Marlins,61,28.2,3.85,162,5929,5348,623,1244,226,23,158,594,106,29,450,1553,0.233,0.298,0.372,0.671,81,1990,95,65,30,30,25,1042,34,27.3,4.33,67,95,0.414,3.96,162,162,161,1,8,0,33,1415,1282,701,622,162,529,43,1381,88,2,58,6027,107,4.01,1.28,8.2,1,3.4,8.8,2.61,1103
Milwaukee Brewers,61,28.7,4.56,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,0.233,0.317,0.396,0.713,91,2124,102,88,25,35,26,1113,38,28.1,3.85,95,67,0.586,3.5,162,162,160,2,19,1,44,1436,1156,623,558,168,537,19,1618,77,9,60,5990,121,3.72,1.179,7.2,1.1,3.4,10.1,3.01,1084
Minnesota Twins,57,28.3,4.5,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,0.241,0.314,0.423,0.738,104,2300,122,70,7,42,17,1092,35,29.8,5.15,73,89,0.451,4.83,162,162,161,1,9,0,42,1419.1,1392,834,762,239,484,13,1317,62,3,48,6080,88,4.66,1.322,8.8,1.5,3.1,8.4,2.72,1017
New York Mets,64,28.2,3.93,162,5856,5210,636,1243,228,18,176,604,54,26,495,1392,0.239,0.315,0.391,0.705,94,2035,123,94,34,23,25,1099,42,29.5,4.12,77,85,0.475,3.9,162,162,160,2,8,1,41,1379.1,1221,668,597,190,475,21,1453,70,1,53,5785,104,4.03,1.23,8,1.2,3.1,9.5,3.06,1005
New York Yankees,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,100,2169,154,63,10,34,14,1097,30,29.3,4.13,92,70,0.568,3.74,162,162,159,3,13,2,47,1435.1,1243,669,596,196,492,10,1569,56,8,85,5999,115,3.9,1.209,7.8,1.2,3.1,9.8,3.19,1048
Oakland Athletics,50,30.1,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,0.238,0.317,0.406,0.723,102,2190,99,98,17,49,17,1084,27,30.1,4.24,86,76,0.531,4.02,162,162,159,3,11,3,39,1433,1362,687,640,191,439,11,1332,64,2,63,6060,103,4.1,1.257,8.6,1.2,2.8,8.4,3.03,1089
Philadelphia Phillies,55,29.1,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,0.24,0.318,0.408,0.726,97,2192,103,67,47,43,37,1115,35,28.8,4.6,82,80,0.506,4.39,162,162,157,5,12,4,36,1418.2,1321,745,692,200,509,37,1480,75,5,49,6055,94,4.15,1.29,8.4,1.3,3.2,9.4,2.91,1074
